Node,ID
1509,311795251
1510,866199973
1511,311807269
1512,696199747
1513,226850080
17,824396205
1514,353659134
1515,311692956
1516,991487127
1517,697112868
1518,697105298
111,526793950
1519,441681503
1520,439329664
674,611713830
1521,781819012
1522,226891662
1523,951828997
1524,824401533
1525,823618204
1526,311919449
1527,780560686
1528,441774597
1529,484550125
1530,484443471
83,866840844
1531,697031883
1532,309339893
1533,951988940
1534,653232941
1535,818021158
1536,311969487
1537,993835391
1538,825253217
1539,910258330
1540,991240943
1541,609466146
1542,265579929
1543,776251065
1544,993402720
1545,734068916
1546,517847702
1547,611726329
1548,738599807
1549,481846037
1550,697407924
1551,859149961
1552,697219401
1553,991515328
1554,736777690
1555,209199290
1556,989271589
1557,781236210
1558,821388021
1559,606720033
1560,637266855
1561,689458941
1562,908656068
1563,696043311
1564,439118763
1565,858579593
1566,476826687
1567,502719417
1568,607404934
1569,526342396
1570,437189790
1571,952308465
1572,861284116
1573,393446339
1574,350109354
31,305156374
26,732781458
1575,612594206
21,994659392
36,902529593
14,994241626
1576,867241381
1577,739306490
1578,739114184
29,641025589
18,655050636
1579,612511082
1580,824630422
1581,397552862
1582,312478509
1583,527154270
1584,782448936
1585,611383974
6,396905155
1586,867402342
20,526125517
1587,400007925
1588,554786073
5,525841836
1589,810955068
1590,442622825
1591,570036128
1592,569988368
1593,397567436
1594,909402406
1595,952555214
1596,477782675
1,951953890
23,697293437
1597,570181033
1598,952600325
1599,227608830
663,781815285
7,564864260
1600,312674174
1601,354368730
1602,312355523
1603,909196085
1604,951863980
1605,867742413
1606,994204162
1607,269461958
1608,951655162
1609,867740318
1524,824401533
1610,696865366
1611,824711218
1612,780866996
1613,628074140
1614,867130031
1615,527118567
1616,570374247
1617,654636953
1618,257264141
1619,441506015
1620,904280997
1621,484687743
1622,863169205
1623,203034586
1624,935796385
1625,312190410
1626,527354335
1627,739426447
1628,397350144
1629,697467519
1630,739637569
1631,526948876
1632,894674320
1633,994437867
1634,254665919
1635,354164701
1525,823618204
1636,310860081
1637,782841357
1638,354277962
12,864694107
1639,818974466
1640,353086752
1641,307400864
27,435176882
7,564864260
1642,263315138
1643,610592421
1644,392643679
1645,393441043
29,641025589
15,564420623
1646,353252882
1647,353175248
1648,353063059
16,738626391
1649,649658448
3,909887414
1650,525667788
1651,610813544
1652,225472511
1653,305782722
1578,739114184
1654,738295978
1655,781085192
1656,222614883
1657,310735849
36,902529593
20,526125517
1658,695784562
1659,520768201
31,305156374
1660,568300065
1661,950618282
21,994659392
1662,903963766
1663,780520562
1664,950882173
1665,651717823
1666,695756555
36,902529593
1667,227165127
21,994659392
1668,606556723
1669,566295790
1670,824481901
1,951953890
289,439268814
1671,781402370
1672,269666948
16,738626391
4,611851137
1673,484343689
1674,990212391
1201,824378757
1675,269540577
1676,298505771
1677,526249861
908,951594759
20,526125517
475,225700704
1678,991726740
28,484266461
1679,716348283
14,994241626
1680,526878321
1681,441880675
1682,654499250
1683,612192948
1684,654475292
24,569559929
1685,951988380
158,569513145
1686,611955198
1687,824304922
1688,396546265
1689,781846202
1690,824399869
1691,481483105
1578,739114184
5,525841836
36,902529593
20,526125517
1692,773638924
1693,722122595
1694,732057810
1596,477782675
1695,308589212
1696,348762549
1697,345579203
1698,223084329
1699,989129117
1700,607398507
1701,692375320
1702,305091776
1703,989798052
1704,861907263
1705,610822209
1706,521932383
1707,734256773
1649,649658448
12,864694107
1708,777818428
1709,305097210
1710,606616385
1711,222410683
1712,522637299
1713,735113010
1714,222155889
1715,523981114
1716,649929217
1717,735221304
1718,563989786
1719,475778103
1720,863077118
1669,566295790
1721,565110747
1722,221995676
1723,777923694
16,738626391
1724,2684875
1725,767517935
1726,2327506
1727,591594044
1728,442231894
1729,931938798
1730,883692
400,951383532
1731,710408579
1732,589139215
1733,503621618
1734,5745073
1735,343971709
1736,427899278
1737,478083712
1738,263043882
1739,856648207
1740,727685565
1741,329857090
1742,858903899
1743,440696678
1744,304933295
1745,850679633
1746,893516908
1747,800453392
1748,825298657
1749,52164684
1750,526817531
1751,548287405
1752,848433647
1753,984159380
1754,13052137
1755,928867428
1756,589273232
1757,823656687
1758,589454916
1759,599656822
1760,504574562
1761,854911581
1762,680694492
1763,731527087
1764,430333751
1765,983790273
1766,987780474
1767,556753776
1768,346337824
1769,814283976
1770,472388464
1771,689150147
1772,301718686
1773,858961703
1774,777441933
1775,566930284
1776,947364625
1777,260519607
1778,389858977
1779,650641147
1780,782618577
1781,311222125
1782,386794902
1783,311446789
1784,951073759
1785,952122833
1786,479825706
1787,302769688
1788,515994400
1789,909260288
1790,475368810
1791,654084201
1792,908367445
1793,694148699
1794,818218368
1795,737577666
1796,780434284
1797,987409087
1798,261032982
1799,343685310
1800,824628670
1801,951664891
4,611851137
1802,525257389
1803,653042373
1804,480082703
1805,948849550
1806,760828564
1807,644845777
169,311814034
455,396821325
1808,482842023
1809,526554733
1810,739286722
1811,525278955
1812,441845715
1813,484325846
1814,908243738
1815,909192925
1816,865269773
1817,53043610
1818,310377794
1819,380076433
1820,387127687
1821,950893983
1822,951254769
1823,440366076
1824,950740299
1825,654244734
1826,972933258
1827,439335075
1828,262062711
1829,909054253
420,441474676
1830,611641863
1831,864517441
1832,654251458
1833,951772467
992,354026019
1834,352523735
1835,642254304
1836,225490684
1837,909249631
457,867288412
1838,396933098
1609,867740318
1839,866553817
89,569266397
115,739161876
1840,569374853
1841,952002380
1842,247923744
1640,353086752
1843,311620625
1524,824401533
1844,938333067
1845,524214490
1846,781851021
1602,312355523
1847,438133948
90,484463121
1848,980219251
1849,909664793
1850,268740229
1851,906564780
1852,226928045
1853,866802709
1854,610786947
1855,925063185
1509,311795251
1856,396603969
0,823733283
1857,909256518
1858,268140501
83,866840844
1859,526894651
1860,462378549
1861,780283758
1862,503171282
1513,226850080
