node,aid,title,ctime,tid,tname,pubdate,duration
777868669,991653085,第一次喝快乐水（可乐），好像不是很快乐,1676121157,254,亲子,1676121157,54
777868669,863359652,大灰狼我才不跟你走呢,1674626818,254,亲子,1674626818,52
777868669,949709221,生个女儿吧～和她处成姐妹,1676899769,254,亲子,1676899769,37
777868669,949263559,女儿的眼泪最致命,1676286740,254,亲子,1676286740,10
777868669,268587445,看看这对父女是怎么吵架的,1678971065,254,亲子,1678971065,70
777868669,692124428,我最爱爸爸了～,1672483295,254,亲子,1672483294,37
777868669,949140221,没有人是多余的,1676031967,254,亲子,1676031967,51
777868669,441786248,做梦的的时候都想亲亲姐姐,1680080615,254,亲子,1680080615,19
777868669,483163923,换一个不打呼噜的爸爸,1678272213,254,亲子,1678272213,72
777868669,437581772,妈妈，我快心碎了,1677324737,254,亲子,1677324737,70
777868669,308394301,我的爸爸由我来守护,1674904467,254,亲子,1674904467,19
777868669,568197903,还有什么办法能让爸爸打呼噜小声点,1678185011,254,亲子,1678185011,48
777868669,821963361,有这样的女儿就想赶快放学接她回家,1676559295,254,亲子,1676559295,9
777868669,696900122,好难啊！想给他买又不能什么都给他买,1680496734,254,亲子,1680496734,65
777868669,437713243,好想出去玩呀～,1677496238,254,亲子,1677496238,84
777868669,566241733,始终如一，不忘初心,1675260406,254,亲子,1675260406,40
777868669,607167149,爸爸你会救我吗？,1672741957,254,亲子,1672741956,77
777868669,778091004,刚摆脱睡觉困难户的称号，现在是洗澡困难户了,1674124995,254,亲子,1674124995,54
777868669,990256440,等我拿到幼儿园文凭看你还怎么骗我,1673618887,254,亲子,1673618887,59
777868669,692560467,不是每个爸爸都能当首富但是每个爸爸都会打呼噜,1673347498,254,亲子,1673347498,65
777868669,567065530,这两人估计是上辈子有恩怨，这辈子才会当父女,1676695382,254,亲子,1676695382,66
777868669,392559934,又菜又爱吃,1673261097,254,亲子,1673261097,63
777868669,306905448,好腼腆的一个小甜心呀,1672235984,254,亲子,1672235984,12
777868669,612408102,嗞他,1681288070,254,亲子,1681288070,13
777868669,948804077,难道小孩都不喜欢睡觉吗,1675433588,254,亲子,1675433588,19
777868669,693511618,这小孩多少有点油腻,1675165531,254,亲子,1675165531,33
777868669,612700983,这就是要生女儿的原因,1681805859,254,亲子,1681805858,33
777868669,396351889,我不喜欢你伤心的样子，我希望你开心一点,1679412721,254,亲子,1679412720,21
777868669,734451369,这样的女儿你确定你不生一个嘛？,1672417737,254,亲子,1672417737,11
777868669,951261935,难道小孩子都不喜欢刷牙吗？,1679310895,254,亲子,1679310895,62
777868669,610164143,小豆腐每天睡前必须要的仪式感,1677566289,254,亲子,1677566289,25
777868669,440909178,小豆腐公主的一天（上集）,1678773096,254,亲子,1678773096,67
777868669,264304125,请帮我捂一下小脚吧 “i love u”,1672148244,254,亲子,1672148244,26
777868669,993027662,今天被女儿教育了,1677939707,254,亲子,1677939707,48
777868669,734944795,鬼火已经停不下啦～,1673081989,254,亲子,1673081989,8
777868669,905633656,小豆腐祝大家新年快乐,1674365999,254,亲子,1674365999,12
777868669,477127558,大灰狼前传来了,1672656090,254,亲子,1672656090,35
777868669,736392280,女儿你还是太嫩了点,1675675150,254,亲子,1675675150,50
777868669,993997543,一到丽江，瞬间不搞笑了,1679566551,254,亲子,1679566551,25
777868669,478608220,我以后要找个像爸爸一样的老公,1675153460,254,亲子,1675153460,58
692560467,607167149,爸爸你会救我吗？,1672741957,254,亲子,1672741956,77
692560467,567065530,这两人估计是上辈子有恩怨，这辈子才会当父女,1676695382,254,亲子,1676695382,66
692560467,989821921,小懒猪怎么叫不醒？,1672915656,254,亲子,1672915655,45
692560467,693511618,这小孩多少有点油腻,1675165531,254,亲子,1675165531,33
692560467,483163923,换一个不打呼噜的爸爸,1678272213,254,亲子,1678272213,72
692560467,392559934,又菜又爱吃,1673261097,254,亲子,1673261097,63
